Date,Adj Close,Close,High,Low,Open,Volume
Ticker,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE
Date,,,,,,
2018-01-02 00:00:00+00:00,177.6999969,177.6999969,177.8000031,175.2599945,175.8500061,2432800
2018-01-03 00:00:00+00:00,181.0399933,181.0399933,181.8899994,177.6999969,178,2561200
2018-01-04 00:00:00+00:00,183.2200012,183.2200012,184.0599976,181.6399994,181.9299927,2211400
2018-01-05 00:00:00+00:00,185.3399963,185.3399963,185.8999939,183.5399933,185,2376500
2018-01-08 00:00:00+00:00,185.0399933,185.0399933,185.6000061,183.8300018,184.9499969,2088000
2018-01-09 00:00:00+00:00,186.6999969,186.6999969,186.9700012,183.9299927,185.5700073,1804300
2018-01-10 00:00:00+00:00,187.1100006,187.1100006,187.2700043,185.0700073,185.2100067,1664300
2018-01-11 00:00:00+00:00,188.9199982,188.9199982,188.9400024,186.1900024,187.2899933,1600100
2018-01-12 00:00:00+00:00,195.0500031,195.0500031,195.5,188.9900055,189.0899963,4246000
2018-01-16 00:00:00+00:00,192.4600067,192.4600067,198.2100067,191.7100067,195.9199982,4595600
2018-01-17 00:00:00+00:00,196.4900055,196.4900055,197.1199951,192.7700043,194.0200043,2969500
2018-01-18 00:00:00+00:00,196.1999969,196.1999969,196.5899963,194.0599976,196.2100067,2539400
2018-01-19 00:00:00+00:00,195.7299957,195.7299957,196.6300049,194.6499939,196.2400055,2343000
2018-01-22 00:00:00+00:00,197.8399963,197.8399963,198,194.4199982,195.6999969,1701300
2018-01-23 00:00:00+00:00,200.0899963,200.0899963,204.4499969,199.4400024,202.2899933,3981000
2018-01-24 00:00:00+00:00,197.7799988,197.7799988,202.3000031,196.5200043,201.8200073,3250500
2018-01-25 00:00:00+00:00,197.5099945,197.5099945,199.2400055,196.0700073,198.0800018,2574200
2018-01-26 00:00:00+00:00,201.3000031,201.3000031,201.5500031,198.25,198.5,2338100
2018-01-29 00:00:00+00:00,198.2299957,198.2299957,200.8600006,197.8699951,200.1100006,1939000
2018-01-30 00:00:00+00:00,196.8999939,196.8999939,197.7299957,194.8899994,197.25,3343300
2018-01-31 00:00:00+00:00,199.7599945,199.7599945,200.9600067,196.75,197.1300049,2747600
2018-02-01 00:00:00+00:00,199.3800049,199.3800049,201.75,198.0800018,199.1199951,2366100
2018-02-02 00:00:00+00:00,195.6399994,195.6399994,199.3999939,195.4400024,197.3300018,2813800
2018-02-05 00:00:00+00:00,190.2700043,190.2700043,198.4600067,188,194.0599976,3801300
2018-02-06 00:00:00+00:00,194.4700012,194.4700012,194.8200073,182.1000061,186.5899963,4480000
2018-02-07 00:00:00+00:00,192.3399963,192.3399963,196.2400055,192.0200043,193.8699951,2988000
2018-02-08 00:00:00+00:00,185.1600037,185.1600037,192.9700012,185.0200043,192.8399963,3978700
2018-02-09 00:00:00+00:00,187.9900055,187.9900055,189.7100067,179.3399963,187.3300018,3818800
2018-02-12 00:00:00+00:00,192.1499939,192.1499939,192.9900055,188.5599976,189,2824700
2018-02-13 00:00:00+00:00,193.4799957,193.4799957,194.3099976,190.3899994,190.8500061,1961300
